step,KE,PE,total
461,1.78789e+06,-2.83481e+06,-1.04692e+06
462,1.75765e+06,-2.80727e+06,-1.04963e+06
463,1.75073e+06,-2.80068e+06,-1.04996e+06
464,1.75319e+06,-2.80498e+06,-1.05179e+06
465,1.74591e+06,-2.78972e+06,-1.0438e+06
466,1.72939e+06,-2.774e+06,-1.04461e+06
467,1.72602e+06,-2.77067e+06,-1.04466e+06
468,1.72499e+06,-2.77216e+06,-1.04717e+06
469,1.72772e+06,-2.77388e+06,-1.04616e+06
470,1.73456e+06,-2.76864e+06,-1.03408e+06
471,1.73322e+06,-2.77179e+06,-1.03858e+06
472,1.72982e+06,-2.76374e+06,-1.03392e+06
473,1.72225e+06,-2.75635e+06,-1.0341e+06
474,1.71969e+06,-2.75411e+06,-1.03442e+06
475,1.71925e+06,-2.75343e+06,-1.03418e+06
476,1.72197e+06,-2.7558e+06,-1.03383e+06
477,1.73075e+06,-2.76437e+06,-1.03362e+06
478,1.75051e+06,-2.78336e+06,-1.03285e+06
479,1.76735e+06,-2.80263e+06,-1.03528e+06
480,1.77831e+06,-2.81393e+06,-1.03563e+06
481,1.78781e+06,-2.81373e+06,-1.02592e+06
482,1.78662e+06,-2.81267e+06,-1.02606e+06
483,1.79029e+06,-2.81775e+06,-1.02745e+06
484,1.79765e+06,-2.82395e+06,-1.0263e+06
485,1.80227e+06,-2.82918e+06,-1.0269e+06
486,1.80609e+06,-2.83273e+06,-1.02665e+06
487,1.81061e+06,-2.83658e+06,-1.02597e+06
488,1.81903e+06,-2.84631e+06,-1.02728e+06
489,1.82669e+06,-2.85416e+06,-1.02747e+06
490,1.82397e+06,-2.85185e+06,-1.02787e+06
491,1.81216e+06,-2.83946e+06,-1.0273e+06
492,1.79572e+06,-2.82214e+06,-1.02642e+06
493,1.77927e+06,-2.80479e+06,-1.02552e+06
494,1.7697e+06,-2.79507e+06,-1.02537e+06
495,1.76925e+06,-2.79448e+06,-1.02524e+06
496,1.77712e+06,-2.80387e+06,-1.02675e+06
497,1.78056e+06,-2.80899e+06,-1.02843e+06
498,1.77282e+06,-2.79917e+06,-1.02635e+06
499,1.75999e+06,-2.78557e+06,-1.02559e+06
500,1.74377e+06,-2.76857e+06,-1.0248e+06
